"gene_id","chromosome","gene_entrez_id","gene_symbol","gene_name"
499304719,"1",401934,"RNF223","ring finger protein 223"
499304720,"1",54991,"C1orf159","chromosome 1 open reading frame 159"
499304721,"1",105378584,"LOC105378584","uncharacterized LOC105378584"
499304722,"1",254099,"LINC01342","long intergenic non-protein coding RNA 1342"
499304723,"1",406984,"MIR200B","microRNA 200b"
499304724,"1",406983,"MIR200A","microRNA 200a"
499304725,"1",554210,"MIR429","microRNA 429"
499304726,"1",100506376,"TTLL10-AS1","TTLL10 antisense RNA 1"
499304727,"1",254173,"TTLL10","tubulin tyrosine ligase-like family member 10"
499304728,"1",8784,"TNFRSF18","tumor necrosis factor receptor superfamily, member 18"
499304729,"1",7293,"TNFRSF4","tumor necrosis factor receptor superfamily, member 4"
499304730,"1",51150,"SDF4","stromal cell derived factor 4"
499304731,"1",126792,"B3GALT6","UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6"
499304732,"1",388581,"FAM132A","family with sequence similarity 132, member A"
499304733,"1",118424,"UBE2J2","ubiquitin-conjugating enzyme E2, J2"
499304734,"1",101928895,"LOC101928895","uncharacterized LOC101928895"
499304735,"1",6339,"SCNN1D","sodium channel, non voltage gated 1 delta subunit"
499304736,"1",116983,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
499304737,"1",102465434,"MIR6726","microRNA 6726"
499304738,"1",126789,"PUSL1","pseudouridylate synthase-like 1"
499304739,"1",54973,"CPSF3L","cleavage and polyadenylation specific factor 3-like"
499304740,"1",102465435,"MIR6727","microRNA 6727"
499304741,"1",80772,"CPTP","ceramide-1-phosphate transfer protein"
499304742,"1",83756,"TAS1R3","taste receptor, type 1, member 3"
499304743,"1",1855,"DVL1","dishevelled segment polarity protein 1"
499304744,"1",102466740,"MIR6808","microRNA 6808"
499304745,"1",54587,"MXRA8","matrix-remodelling associated 8"
499304746,"1",54998,"AURKAIP1","aurora kinase A interacting protein 1"
499304747,"1",81669,"CCNL2","cyclin L2"
499304748,"1",148413,"LOC148413","uncharacterized LOC148413"
499304749,"1",55052,"MRPL20","mitochondrial ribosomal protein L20"
499304750,"1",441869,"ANKRD65","ankyrin repeat domain 65"
499304751,"1",105378585,"LOC105378585","uncharacterized LOC105378585"
499304752,"1",643965,"TMEM88B","transmembrane protein 88B"
499304753,"1",102724312,"LOC102724312","uncharacterized LOC102724312"
499304754,"1",64856,"VWA1","von Willebrand factor A domain containing 1"
499304755,"1",219293,"ATAD3C","ATPase family, AAA domain containing 3C"
499304756,"1",83858,"ATAD3B","ATPase family, AAA domain containing 3B"
499304757,"1",55210,"ATAD3A","ATPase family, AAA domain containing 3A"
499304758,"1",339453,"TMEM240","transmembrane protein 240"
499304759,"1",29101,"SSU72","SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)"
499304760,"1",643988,"C1orf233","chromosome 1 open reading frame 233"
499304761,"1",105378586,"LOC105378586","uncharacterized LOC105378586"
499304762,"1",142678,"MIB2","mindbomb E3 ubiquitin protein ligase 2"
499304763,"1",105378587,"LOC105378587","uncharacterized LOC105378587"
499304764,"1",8510,"MMP23B","matrix metallopeptidase 23B"
499304765,"1",984,"CDK11B","cyclin-dependent kinase 11B"
499304766,"1",728661,"SLC35E2B","solute carrier family 35, member E2B"
499304767,"1",100288379,"LOC100288379","ribosomal protein S7 pseudogene"
499304768,"1",8511,"MMP23A","matrix metallopeptidase 23A (pseudogene)"
499304769,"1",728642,"CDK11A","cyclin-dependent kinase 11A"
499304770,"1",9906,"SLC35E2","solute carrier family 35, member E2"
499304771,"1",100129381,"LOC100129381","ribosomal protein S7 pseudogene"
499304772,"1",105378588,"LOC105378588","uncharacterized LOC105378588"
499304773,"1",65220,"NADK","NAD kinase"
499304774,"1",2782,"GNB1","guanine nucleotide binding protein (G protein), beta polypeptide 1"
499304775,"1",105378949,"LOC105378949","basic salivary proline-rich protein 2-like"
499304776,"1",163688,"CALML6","calmodulin-like 6"
499304777,"1",339456,"TMEM52","transmembrane protein 52"
499304778,"1",85452,"CFAP74","cilia and flagella associated protein 74"
499304779,"1",105378589,"LOC105378589","uncharacterized LOC105378589"
499304780,"1",2563,"GABRD","gamma-aminobutyric acid (GABA) A receptor, delta"
499304781,"1",105378590,"LOC105378590","uncharacterized LOC105378590"
499304782,"1",105378591,"LOC105378591","uncharacterized LOC105378591"
499304783,"1",5590,"PRKCZ","protein kinase C, zeta"
499304784,"1",100506504,"LOC100506504","uncharacterized LOC100506504"
499304785,"1",199990,"C1orf86","chromosome 1 open reading frame 86"
499304786,"1",105378593,"LOC105378593","uncharacterized LOC105378593"
499304787,"1",105378592,"LOC105378592","uncharacterized protein FLJ14100"
499304788,"1",6497,"SKI","v-ski avian sarcoma viral oncogene homolog"
499304789,"1",105378594,"LOC105378594","nuclear speckle splicing regulatory protein 1-like"
499304790,"1",105378595,"LOC105378595","uncharacterized LOC105378595"
499304791,"1",79906,"MORN1","MORN repeat containing 1"
499304792,"1",100129534,"LOC100129534","small nuclear ribonucleoprotein polypeptide N pseudogene"
499304793,"1",11079,"RER1","retention in endoplasmic reticulum sorting receptor 1"
499304794,"1",5192,"PEX10","peroxisomal biogenesis factor 10"
499304795,"1",9651,"PLCH2","phospholipase C, eta 2"
499304796,"1",55229,"PANK4","pantothenate kinase 4"
499304797,"1",388585,"HES5","hes family bHLH transcription factor 5"
499304798,"1",115110,"LOC115110","uncharacterized LOC115110"
499304799,"1",8764,"TNFRSF14","tumor necrosis factor receptor superfamily, member 14"
499304800,"1",100996583,"LOC100996583","uncharacterized LOC100996583"
499304801,"1",105378596,"LOC105378596","uncharacterized LOC105378596"
499304802,"1",127281,"FAM213B","family with sequence similarity 213, member B"
499304803,"1",79258,"MMEL1","membrane metallo-endopeptidase-like 1"
499304804,"1",105378597,"LOC105378597","uncharacterized LOC105378597"
499304805,"1",100287898,"TTC34","tetratricopeptide repeat domain 34"
499304806,"1",105378603,"LOC105378603","uncharacterized LOC105378603"
499304807,"1",105378602,"LOC105378602","uncharacterized LOC105378602"
499304808,"1",105378601,"LOC105378601","uncharacterized LOC105378601"
499304809,"1",105378598,"LOC105378598","uncharacterized LOC105378598"
499304810,"1",105378600,"LOC105378600","uncharacterized LOC105378600"
499304811,"1",105378599,"LOC105378599","uncharacterized LOC105378599"
499304812,"1",140625,"ACTRT2","actin-related protein T2"
499304813,"1",440556,"LINC00982","long intergenic non-protein coding RNA 982"
499304814,"1",63976,"PRDM16","PR domain containing 16"
499304815,"1",100420339,"LOC100420339","opioid growth factor receptor pseudogene"
499304816,"1",100422968,"MIR4251","microRNA 4251"
499304817,"1",105378606,"LOC105378606","uncharacterized LOC105378606"
499304818,"1",105378605,"LOC105378605","uncharacterized LOC105378605"
499304819,"1",105378604,"LOC105378604","uncharacterized LOC105378604"
499304820,"1",27237,"ARHGEF16","Rho guanine nucleotide exchange factor (GEF) 16"
499304821,"1",1953,"MEGF6","multiple EGF-like-domains 6"
499304822,"1",105378608,"LOC105378608","uncharacterized LOC105378608"
499304823,"1",693135,"MIR551A","microRNA 551a"
499304824,"1",105378607,"LOC105378607","uncharacterized LOC105378607"
499304825,"1",127262,"TPRG1L","tumor protein p63 regulated 1-like"
499304826,"1",49856,"WRAP73","WD repeat containing, antisense to TP73"
499304827,"1",7161,"TP73","tumor protein p73"
499304828,"1",105378610,"LOC105378610","uncharacterized LOC105378610"
499304829,"1",105378609,"LOC105378609","uncharacterized LOC105378609"
499304830,"1",57212,"TP73-AS1","TP73 antisense RNA 1"
499304831,"1",148870,"CCDC27","coiled-coil domain containing 27"
499304832,"1",388588,"SMIM1","small integral membrane protein 1 (Vel blood group)"
499304833,"1",57470,"LRRC47","leucine rich repeat containing 47"
499304834,"1",9731,"CEP104","centrosomal protein 104kDa"
499304835,"1",1677,"DFFB","DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)"
499304836,"1",339448,"C1orf174","chromosome 1 open reading frame 174"
499304837,"1",100133612,"LINC01134","long intergenic non-protein coding RNA 1134"
499304838,"1",728716,"LINC01346","long intergenic non-protein coding RNA 1346"
499304839,"1",105376672,"LOC105376672","uncharacterized LOC105376672"
499304840,"1",105376673,"LOC105376673","uncharacterized LOC105376673"
499304841,"1",644357,"EEF1DP6","eukaryotic translation elongation factor 1 delta pseudogene 6"
499304842,"1",284661,"LOC284661","uncharacterized LOC284661"
499304843,"1",105376674,"LOC105376674","uncharacterized LOC105376674"
499304844,"1",105376679,"LOC105376679","uncharacterized LOC105376679"
499304845,"1",105378611,"LOC105378611","uncharacterized LOC105378611"
499304846,"1",55966,"AJAP1","adherens junctions associated protein 1"
499304847,"1",105376680,"LOC105376680","uncharacterized LOC105376680"
499304848,"1",102724429,"LOC102724429","uncharacterized LOC102724429"
499304849,"1",105376681,"LOC105376681","uncharacterized LOC105376681"
499304850,"1",105376682,"LOC105376682","uncharacterized LOC105376682"
499304851,"1",105376686,"LOC105376686","uncharacterized LOC105376686"
499304852,"1",100616489,"MIR4417","microRNA 4417"
499304853,"1",100287877,"LOC100287877","uncharacterized LOC100287877"
499304854,"1",100616421,"MIR4689","microRNA 4689"
499304855,"1",261734,"NPHP4","nephronophthisis 4"
499304856,"1",8514,"KCNAB2","potassium channel, voltage gated subfamily A regulatory beta subunit 2"
499304857,"1",26038,"CHD5","chromodomain helicase DNA binding protein 5"
499304858,"1",105376687,"LOC105376687","uncharacterized LOC105376687"
499304859,"1",6146,"RPL22","ribosomal protein L22"
499304860,"1",102724450,"LOC102724450","uncharacterized LOC102724450"
499304861,"1",388591,"RNF207","ring finger protein 207"
499304862,"1",23463,"ICMT","isoprenylcysteine carboxyl methyltransferase"
499304863,"1",148645,"LINC00337","long intergenic non-protein coding RNA 337"
499304864,"1",390992,"HES3","hes family bHLH transcription factor 3"
499304865,"1",387509,"GPR153","G protein-coupled receptor 153"
499304866,"1",11332,"ACOT7","acyl-CoA thioesterase 7"
499304867,"1",105376688,"LOC105376688","uncharacterized LOC105376688"
499304868,"1",54626,"HES2","hes family bHLH transcription factor 2"
499304869,"1",83715,"ESPN","espin"
499304870,"1",100422975,"MIR4252","microRNA 4252"
499304871,"1",8718,"TNFRSF25","tumor necrosis factor receptor superfamily, member 25"
499304872,"1",57449,"PLEKHG5","pleckstrin homology domain containing, family G (with RhoGef domain) member 5"
499304873,"1",79707,"NOL9","nucleolar protein 9"
499304874,"1",80835,"TAS1R1","taste receptor, type 1, member 1"
499304875,"1",3104,"ZBTB48","zinc finger and BTB domain containing 48"
499304876,"1",9903,"KLHL21","kelch-like family member 21"
499304877,"1",148479,"PHF13","PHD finger protein 13"
499304878,"1",90326,"THAP3","THAP domain containing, apoptosis associated protein 3"
499304879,"1",55735,"DNAJC11","DnaJ (Hsp40) homolog, subfamily C, member 11"
499304880,"1",100505887,"LOC100505887","uncharacterized LOC100505887"
499304881,"1",23261,"CAMTA1","calmodulin binding transcription activator 1"
499304882,"1",100270828,"RPL37P9","ribosomal protein L37 pseudogene 9"
499304883,"1",100129476,"LOC100129476","uncharacterized LOC100129476"
499304884,"1",105376692,"LOC105376692","uncharacterized LOC105376692"
499304885,"1",100874340,"CAMTA1-IT1","CAMTA1 intronic transcript 1"
499304886,"1",102725193,"LOC102725193","uncharacterized LOC102725193"
499304887,"1",101928836,"LOC101928836","uncharacterized LOC101928836"
499304888,"1",105376691,"LOC105376691","uncharacterized LOC105376691"
499304889,"1",101928811,"LOC101928811","uncharacterized LOC101928811"
499304890,"1",105376690,"LOC105376690","uncharacterized LOC105376690"
499304891,"1",105376689,"LOC105376689","uncharacterized LOC105376689"
499304892,"1",9341,"VAMP3","vesicle-associated membrane protein 3"
499304893,"1",105376693,"LOC105376693","uncharacterized LOC105376693"
499304894,"1",8863,"PER3","period circadian clock 3"
499304895,"1",10911,"UTS2","urotensin 2"
499304896,"1",3604,"TNFRSF9","tumor necrosis factor receptor superfamily, member 9"
499304897,"1",11315,"PARK7","parkinson protein 7"
499304898,"1",105376694,"LOC105376694","uncharacterized LOC105376694"
499304899,"1",54206,"ERRFI1","ERBB receptor feedback inhibitor 1"
499304900,"1",390993,"RPL7AP18","ribosomal protein L7a pseudogene 18"
499304901,"1",100129776,"LOC100129776","eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa pseudogene"
499304902,"1",102724539,"LOC102724539","uncharacterized LOC102724539"
499304903,"1",105376695,"LOC105376695","uncharacterized LOC105376695"
499304904,"1",50651,"SLC45A1","solute carrier family 45, member 1"
499304905,"1",473,"RERE","arginine-glutamic acid dipeptide (RE) repeats"
499304906,"1",102724552,"LOC102724552","uncharacterized LOC102724552"
499304907,"1",100270823,"RPL7P11","ribosomal protein L7 pseudogene 11"
499304908,"1",644896,"RPL7P7","ribosomal protein L7 pseudogene 7"
499304909,"1",100128662,"RPL27P3","ribosomal protein L27 pseudogene"
499304910,"1",100131143,"RPL23AP19","ribosomal protein L23a pseudogene 19"
499304911,"1",2023,"ENO1","enolase 1, (alpha)"
499304912,"1",102465436,"MIR6728","microRNA 6728"
499304913,"1",100505975,"ENO1-AS1","ENO1 antisense RNA 1"
499304914,"1",100113373,"HMGN2P17","high mobility group nucleosomal binding domain 2 pseudogene 17"
499304915,"1",105376696,"LOC105376696","uncharacterized LOC105376696"
499304916,"1",765,"CA6","carbonic anhydrase VI"
499304917,"1",155184,"SLC2A7","solute carrier family 2 (facilitated glucose transporter), member 7"
499304918,"1",6518,"SLC2A5","solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
499304919,"1",80045,"GPR157","G protein-coupled receptor 157"
499304920,"1",407040,"MIR34A","microRNA 34a"
499304921,"1",102724571,"LOC102724571","uncharacterized LOC102724571"
499304922,"1",9563,"H6PD","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)"
499304923,"1",105376697,"LOC105376697","uncharacterized LOC105376697"
499304924,"1",80176,"SPSB1","splA/ryanodine receptor domain and SOCS box containing 1"
499304925,"1",100506022,"LOC100506022","uncharacterized LOC100506022"
499304926,"1",100873279,"RNA5SP40","RNA, 5S ribosomal pseudogene 40"
499304927,"1",105376706,"LOC105376706","uncharacterized LOC105376706"
499304928,"1",84275,"SLC25A33","solute carrier family 25 (pyrimidine nucleotide carrier), member 33"
499304929,"1",642740,"RPL9P11","ribosomal protein L9 pseudogene 11"
499304930,"1",199953,"TMEM201","transmembrane protein 201"
499304931,"1",105376712,"LOC105376712","uncharacterized LOC105376712"
499304932,"1",5293,"PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta"
499304933,"1",644997,"PIK3CD-AS1","PIK3CD antisense RNA 1"
499304934,"1",100270883,"RPL26P7","ribosomal protein L26 pseudogene 7"
499304935,"1",101929074,"PIK3CD-AS2","PIK3CD antisense RNA 2"
499304936,"1",22883,"CLSTN1","calsyntenin 1"
499304937,"1",56998,"CTNNBIP1","catenin, beta interacting protein 1"
499304938,"1",105376717,"LOC105376717","uncharacterized LOC105376717"
499304939,"1",84328,"LZIC","leucine zipper and CTNNBIP1 domain containing"
499304940,"1",64802,"NMNAT1","nicotinamide nucleotide adenylyltransferase 1"
499304941,"1",100847055,"MIR5697","microRNA 5697"
499304942,"1",105376719,"LOC105376719","basic proline-rich protein-like"
499304943,"1",116362,"RBP7","retinol binding protein 7, cellular"
499304944,"1",10277,"UBE4B","ubiquitination factor E4B"
499304945,"1",100270877,"RPL21P21","ribosomal protein L21 pseudogene 21"
499304946,"1",100420660,"PGAM1P11","phosphoglycerate mutase 1 pseudogene 11"
499304947,"1",23095,"KIF1B","kinesin family member 1B"
499304948,"1",100422970,"MIR1273D","microRNA 1273d"
499304949,"1",105376725,"LOC105376725","uncharacterized LOC105376725"
499304950,"1",5226,"PGD","phosphogluconate dehydrogenase"
499304951,"1",100526739,"APITD1-CORT","APITD1-CORT readthrough"
499304952,"1",378708,"APITD1","apoptosis-inducing, TAF9-like domain 1"
499304953,"1",1325,"CORT","cortistatin"
499304954,"1",1676,"DFFA","DNA fragmentation factor, 45kDa, alpha polypeptide"
499304955,"1",5195,"PEX14","peroxisomal biogenesis factor 14"
499304956,"1",54897,"CASZ1","castor zinc finger 1"
499304957,"1",105376733,"LOC105376733","uncharacterized LOC105376733"
499304958,"1",148345,"C1orf127","chromosome 1 open reading frame 127"
499304959,"1",390996,"CFL1P6","cofilin 1 (non-muscle) pseudogene 6"
499304960,"1",23435,"TARDBP","TAR DNA binding protein"
499304961,"1",10747,"MASP2","mannan-binding lectin serine peptidase 2"
499304962,"1",6723,"SRM","spermidine synthase"
499304963,"1",5394,"EXOSC10","exosome component 10"
499304964,"1",105376736,"LOC105376736","uncharacterized LOC105376736"
499304965,"1",2475,"MTOR","mechanistic target of rapamycin (serine/threonine kinase)"
499304966,"1",100873935,"MTOR-AS1","MTOR antisense RNA 1"
499304967,"1",10218,"ANGPTL7","angiopoietin-like 7"
499304968,"1",100270891,"RPL39P6","ribosomal protein L39 pseudogene 6"
499304969,"1",29914,"UBIAD1","UbiA prenyltransferase domain containing 1"
499304970,"1",100421341,"UBE2V2P3","ubiquitin-conjugating enzyme E2 variant 2 pseudogene 3"
499304971,"1",105376737,"LOC105376737","uncharacterized LOC105376737"
499304972,"1",105376739,"LOC105376739","uncharacterized LOC105376739"
499304973,"1",105376740,"LOC105376740","uncharacterized LOC105376740"
499304974,"1",57540,"PTCHD2","patched domain containing 2"
499304975,"1",105376741,"LOC105376741","uncharacterized LOC105376741"
499304976,"1",101929181,"LOC101929181","uncharacterized LOC101929181"
499304977,"1",26232,"FBXO2","F-box protein 2"
499304978,"1",93611,"FBXO44","F-box protein 44"
499304979,"1",26270,"FBXO6","F-box protein 6"
499304980,"1",10459,"MAD2L2","MAD2 mitotic arrest deficient-like 2 (yeast)"
499304981,"1",374946,"DRAXIN","dorsal inhibitory axon guidance protein"
499304982,"1",57085,"AGTRAP","angiotensin II receptor-associated protein"
499304983,"1",101060126,"LOC101060126","101060126"
499304984,"1",284498,"C1orf167","chromosome 1 open reading frame 167"
499304985,"1",102724659,"LOC102724659","uncharacterized LOC102724659"
499304986,"1",4524,"MTHFR","methylenetetrahydrofolate reductase (NAD(P)H)"
499304987,"1",1185,"CLCN6","chloride channel, voltage-sensitive 6"
499304988,"1",100379251,"NPPA-AS1","NPPA antisense RNA 1"
499304989,"1",4878,"NPPA","natriuretic peptide A"
499304990,"1",4879,"NPPB","natriuretic peptide B"
499304991,"1",390997,"LOC390997","SET binding factor 1 pseudogene"
499304992,"1",105376742,"LOC105376742","uncharacterized LOC105376742"
499304993,"1",26829,"RNU5E-1","RNA, U5E small nuclear 1"
499304994,"1",100873829,"RNU5E-4P","RNA, U5E small nuclear 4, pseudogene"
499304995,"1",90231,"KIAA2013","KIAA2013"
499304996,"1",5351,"PLOD1","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1"
499304997,"1",9927,"MFN2","mitofusin 2"
499304998,"1",60672,"MIIP","migration and invasion inhibitory protein"
499304999,"1",102466982,"MIR6729","microRNA 6729"
499305000,"1",943,"TNFRSF8","tumor necrosis factor receptor superfamily, member 8"
499305001,"1",102465836,"MIR7846","microRNA 7846"
499305002,"1",7133,"TNFRSF1B","tumor necrosis factor receptor superfamily, member 1B"
499305003,"1",100616438,"MIR4632","microRNA 4632"
499305004,"1",390998,"LOC390998","ribosomal protein L10 pseudogene"
499305005,"1",55187,"VPS13D","vacuolar protein sorting 13 homolog D (S. cerevisiae)"
499305006,"1",105376743,"LOC105376743","uncharacterized LOC105376743"
499305007,"1",677885,"SNORA59A","small nucleolar RNA, H/ACA box 59A"
499305008,"1",105376744,"LOC105376744","uncharacterized LOC105376744"
499305009,"1",9249,"DHRS3","dehydrogenase/reductase (SDR family) member 3"
499305010,"1",102466722,"MIR6730","microRNA 6730"
499305011,"1",343066,"AADACL4","arylacetamide deacetylase-like 4"
499305012,"1",126767,"AADACL3","arylacetamide deacetylase-like 3"
499305013,"1",93190,"C1orf158","chromosome 1 open reading frame 158"
499305014,"1",390999,"PRAMEF12","PRAME family member 12"
499305015,"1",65121,"PRAMEF1","PRAME family member 1"
499305016,"1",105376745,"LOC105376745","uncharacterized LOC105376745"
499305017,"1",440560,"PRAMEF11","PRAME family member 11"
499305018,"1",441870,"LOC441870","PRAME family member 10-like"
499305019,"1",343069,"HNRNPCL1","heterogeneous nuclear ribonucleoprotein C-like 1"
499305020,"1",65122,"PRAMEF2","PRAME family member 2"
499305021,"1",400735,"PRAMEF4","PRAME family member 4"
499305022,"1",343071,"PRAMEF10","PRAME family member 10"
499305023,"1",441871,"PRAMEF7","PRAME family member 7"
499305024,"1",729356,"LOC729356","PRAME family member 1 pseudogene"
499305025,"1",440561,"PRAMEF6","PRAME family member 6"
499305026,"1",653606,"PRAMEF22","PRAME family member 22"
499305027,"1",102724742,"LOC102724742","PRAME family member 1-like"
499305028,"1",101929983,"LOC101929983","PRAME family member 9/15-like"
499305029,"1",649330,"HNRNPCL3","heterogeneous nuclear ribonucleoprotein C-like 3"
499305030,"1",441873,"PRAMEF25","PRAME family member 25"
499305031,"1",649324,"LOC649324","PRAME family member 1 pseudogene"
499305032,"1",100419649,"LOC100419649","PRAME family member 10 pseudogene"
499305033,"1",440563,"HNRNPCL2","heterogeneous nuclear ribonucleoprotein C-like 2"
499305034,"1",645354,"LOC645354","PRAME family member 1 pseudogene"
499305035,"1",645359,"PRAMEF26","PRAME family member 26"
499305036,"1",101060301,"HNRNPCL4","heterogeneous nuclear ribonucleoprotein C-like 4"
499305037,"1",343070,"PRAMEF9","PRAME family member 9"
499305038,"1",400736,"LOC400736","PRAME family member-like"
499305039,"1",391003,"LOC391003","PRAME family member-like"
499305040,"1",100129611,"LOC100129611","PRAME family member 17 pseudogene"
499305041,"1",343068,"PRAMEF5","PRAME family member 5"
499305042,"1",650236,"LOC650236","PRAME family member 1 pseudogene"
499305043,"1",391002,"PRAMEF8","PRAME family member 8"
499305044,"1",645382,"LOC645382","PRAME family member 10-like"
499305045,"1",653619,"PRAMEF15","PRAME family member 15"
499305046,"1",729528,"PRAMEF14","PRAME family member 14"
499305047,"1",645414,"PRAMEF19","PRAME family member 19"
499305048,"1",391004,"PRAMEF17","PRAME family member 17"
499305049,"1",645425,"PRAMEF20","PRAME family member 20"
499305050,"1",126755,"LRRC38","leucine rich repeat containing 38"
499305051,"1",102724856,"LOC102724856","uncharacterized LOC102724856"
499305052,"1",10630,"PDPN","podoplanin"
499305053,"1",100873280,"RNA5SP41","RNA, 5S ribosomal pseudogene 41"
499305054,"1",105378612,"LOC105378612","uncharacterized LOC105378612"
499305055,"1",105376756,"LOC105376756","uncharacterized LOC105376756"
499305056,"1",7799,"PRDM2","PR domain containing 2, with ZNF domain"
499305057,"1",23254,"KAZN","kazrin, periplakin interacting protein"
499305058,"1",105376764,"LOC105376764","uncharacterized LOC105376764"
499305059,"1",105376762,"LOC105376762","uncharacterized LOC105376762"
499305060,"1",494541,"TBCAP2","tubulin folding cofactor A pseudogene 2"
499305061,"1",105376759,"LOC105376759","uncharacterized LOC105376759"
499305062,"1",105376758,"LOC105376758","uncharacterized LOC105376758"
499305063,"1",105376757,"LOC105376757","uncharacterized LOC105376757"
499305064,"1",200197,"TMEM51-AS1","TMEM51 antisense RNA 1"
499305065,"1",55092,"TMEM51","transmembrane protein 51"
499305066,"1",727684,"C1orf195","chromosome 1 open reading frame 195"
499305067,"1",100420251,"LOC100420251","mitochondrial fission factor pseudogene"
499305068,"1",100421184,"LOC100421184","zinc finger and BTB domain containing 2 pseudogene"
499305069,"1",114827,"FHAD1","forkhead-associated (FHA) phosphopeptide binding domain 1"
