source	source_desc	source_id	target	target_desc	target_id	weight
WWP2	O00308	11060	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0072661	na	1.0
CDC7	O00311	8317	positive regulation of transcription from RNA polymerase II promoter	GO:0072661	na	1.0
ARNTL	O00327	406	ubiquitin-dependent protein catabolic process	GO:0072661	na	1.0
PIK3CD	O00329	5293	Ras protein signal transduction	GO:0072661	na	1.0
FOXE1	O00358	2304	axonogenesis	GO:0072661	na	1.0
WASL	O00401	8976	neuron projection morphogenesis	GO:0072661	na	1.0
PDE2A	O00408	5138	negative regulation of autophagy	GO:0072661	na	1.0
DNM1L	O00429	10059	cellular response to amino acid starvation	GO:0072661	na	1.0
PIK3R2	O00459	5296	apoptotic signaling pathway	GO:0072661	na	1.0
AGRN	O00468	375790	fat cell differentiation	GO:0072661	na	1.0
PSMD14	O00487	10213	regulation of small GTPase mediated signal transduction	GO:0072661	na	1.0
STK25	O00506	10494	positive regulation of protein phosphorylation	GO:0072661	na	1.0
DLL1	O00548	28514	positive regulation of autophagy	GO:0072661	na	1.0
SDCBP	O00560	6386	positive regulation of peptidyl-threonine phosphorylation	GO:0072661	na	1.0
DDX3X	O00571	1654	protein destabilization	GO:0072661	na	1.0
CCL21	O00585	6366	positive regulation of peptidyl-serine phosphorylation	GO:0072661	na	1.0
CYR61	O00622	3491	regulation of protein complex assembly	GO:0072661	na	1.0
CCL22	O00626	6367	protein stabilization	GO:0072661	na	1.0
SLN	O00631	6588	defense response to Gram-negative bacterium	GO:0072661	na	1.0
NFIB	O00712	4781	cellular response to lipopolysaccharide	GO:0072661	na	1.0
WNT10B	O00744	7480	positive regulation of protein serine/threonine kinase activity	GO:0072661	na	1.0
WNT7A	O00755	7476	cellular response to virus	GO:0072661	na	1.0
UBE2C	O00762	11065	transcription from RNA polymerase II promoter	GO:0072661	na	1.0
PLPP1	O14494	8611	positive regulation of transcription, DNA-templated	GO:0072661	na	1.0
PLPP3	O14495	8613	ion transmembrane transport	GO:0072661	na	1.0
SOCS2	O14508	8835	inflammatory response	GO:0072661	na	1.0
CUX2	O14529	23316	positive regulation of gene expression	GO:0072661	na	1.0
CXCL11	O14625	6373	regulation of actin cytoskeleton organization	GO:0072661	na	1.0
DVL1	O14640	1855	positive regulation of GTPase activity	GO:0072661	na	1.0
DVL2	O14641	1856	cellular protein metabolic process	GO:0072661	na	1.0
TOR1A	O14656	1861	oxidation-reduction process	GO:0072661	na	1.0
ADAM10	O14672	102	cell surface receptor signaling pathway	GO:0072661	na	1.0
ITGB1BP1	O14713	9270	spermatogenesis	GO:0072661	na	1.0
RIOK3	O14730	8780	skeletal system development	GO:0072661	na	1.0
MAP2K7	O14733	5609	eye development	GO:0072661	na	1.0
PRMT5	O14744	10419	heart development	GO:0072661	na	1.0
SLC9A3R1	O14745	9368	extracellular matrix disassembly	GO:0072661	na	1.0
CHEK1	O14757	1111	bone development	GO:0072661	na	1.0
TNFRSF10B	O14763	8795	negative regulation of cell proliferation	GO:0072661	na	1.0
TPP1	O14773	1200	cellular response to DNA damage stimulus	GO:0072661	na	1.0
NDC80	O14777	10403	regulation of transcription, DNA-templated	GO:0072661	na	1.0
NRP1	O14786	8829	retrograde vesicle-mediated transport, Golgi to ER	GO:0072661	na	1.0
MSTN	O14793	2660	striated muscle contraction	GO:0072661	na	1.0
UNC13B	O14795	10497	actin filament organization	GO:0072661	na	1.0
PSMA7	O14818	5688	sarcomere organization	GO:0072661	na	1.0
FFAR3	O14843	2865	endosome to lysosome transport	GO:0072661	na	1.0
AIM2	O14862	9447	membrane organization	GO:0072661	na	1.0
WNT9A	O14904	7483	negative regulation of canonical Wnt signaling pathway	GO:0072661	na	1.0
WNT9B	O14905	7484	G-protein coupled receptor signaling pathway	GO:0072661	na	1.0
GIPC1	O14908	10755	signal transduction	GO:0072661	na	1.0
IKBKB	O14920	3551	mismatch repair	GO:0072661	na	1.0
NCR3	O14931	259197	double-strand break repair	GO:0072661	na	1.0
EREG	O14944	2069	replication fork processing	GO:0072661	na	1.0
CASQ2	O14958	845	retina homeostasis	GO:0072661	na	1.0
HGS	O14964	9146	endosomal transport	GO:0072661	na	1.0
AURKA	O14965	6790	macroautophagy	GO:0072661	na	1.0
RAB29	O14966	8934	viral life cycle	GO:0072661	na	1.0
PPP1R12A	O14974	4659	multivesicular body assembly	GO:0072661	na	1.0
GAK	O14976	2580	viral budding via host ESCRT complex	GO:0072661	na	1.0
ATP2A1	O14983	487	intracellular transport of virus	GO:0072661	na	1.0
PLXNB2	O15031	23654	determination of left/right symmetry	GO:0072661	na	1.0
PER2	O15055	8864	MAPK cascade	GO:0072661	na	1.0
KIF3B	O15066	9371	stimulatory C-type lectin receptor signaling pathway	GO:0072661	na	1.0
CEP290	O15078	80184	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	GO:0072661	na	1.0
ARHGEF11	O15085	9826	proteolysis	GO:0072661	na	1.0
SMAD7	O15105	4092	regulation of cellular amino acid metabolic process	GO:0072661	na	1.0
CHUK	O15111	1147	negative regulation of G2/M transition of mitotic cell cycle	GO:0072661	na	1.0
NPC1	O15118	4864	protein deubiquitination	GO:0072661	na	1.0
TBX3	O15119	6926	anaphase-promoting complex-dependent catabolic process	GO:0072661	na	1.0
MDM4	O15151	4194	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0072661	na	1.0
PLSCR1	O15162	5359	tumor necrosis factor-mediated signaling pathway	GO:0072661	na	1.0
AXIN1	O15169	8312	NIK/NF-kappaB signaling	GO:0072661	na	1.0
UBD	O15205	10537	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0072661	na	1.0
LAMA5	O15230	3911	regulation of mRNA stability	GO:0072661	na	1.0
NPHP1	O15259	4867	post-translational protein modification	GO:0072661	na	1.0
TCAP	O15273	8557	T cell receptor signaling pathway	GO:0072661	na	1.0
OGT	O15294	8473	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	GO:0072661	na	1.0
ALOX15B	O15296	247	transmembrane transport	GO:0072661	na	1.0
RAD51B	O15315	5890	Wnt signaling pathway, planar cell polarity pathway	GO:0072661	na	1.0
TP73	O15350	7161	regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0072661	na	1.0
HDAC3	O15379	8841	positive regulation of canonical Wnt signaling pathway	GO:0072661	na	1.0
BIRC5	O15392	332	negative regulation of translation	GO:0072661	na	1.0
CCL25	O15444	6370	cell-cell signaling	GO:0072661	na	1.0
TLR3	O15455	7098	nervous system development	GO:0072661	na	1.0
CCL16	O15467	6360	positive regulation of cytokine production	GO:0072661	na	1.0
PLA2G10	O15496	8399	cytoplasmic microtubule organization	GO:0072661	na	1.0
NUPL2	O15504	11097	positive regulation of T cell proliferation	GO:0072661	na	1.0
POLR2D	O15514	5433	positive regulation of T cell activation	GO:0072661	na	1.0
CLOCK	O15516	9575	transcription, DNA-templated	GO:0072661	na	1.0
CFLAR	O15519	8837	positive regulation of cell proliferation	GO:0072661	na	1.0
FGF10	O15520	2255	cell differentiation	GO:0072661	na	1.0
OGG1	O15527	4968	negative regulation of apoptotic process	GO:0072661	na	1.0
CYP27B1	O15528	1594	BMP signaling pathway	GO:0072661	na	1.0
PDPK1	O15530	5170	response to lipopolysaccharide	GO:0072661	na	1.0
PER1	O15534	5187	male gonad development	GO:0072661	na	1.0
FFAR2	O15552	2867	cell-matrix adhesion	GO:0072661	na	1.0
MEFV	O15553	4210	regulation of mitotic cell cycle	GO:0072661	na	1.0
PLXNB1	O43157	5364	response to virus	GO:0072661	na	1.0
IRAK2	O43187	3656	negative regulation of viral genome replication	GO:0072661	na	1.0
PSMD3	O43242	5709	RNA export from nucleus	GO:0072661	na	1.0
SIAH2	O43255	6478	protein import into nucleus	GO:0072661	na	1.0
ZW10	O43264	9183	cellular response to starvation	GO:0072661	na	1.0
DAPK3	O43293	1613	negative regulation of cell cycle arrest	GO:0072661	na	1.0
ADCY6	O43306	112	negative regulation of Wnt signaling pathway	GO:0072661	na	1.0
MTSS1	O43312	9788	sensory perception of sound	GO:0072661	na	1.0
AQP9	O43315	366	regulation of alternative mRNA splicing, via spliceosome	GO:0072661	na	1.0
MAP3K7	O43318	6885	positive regulation of cell migration	GO:0072661	na	1.0
FGF16	O43320	8823	vesicle-mediated transport	GO:0072661	na	1.0
RIPK2	O43353	8767	regulation of transcription from RNA polymerase II promoter	GO:0072661	na	1.0
SYNJ1	O43426	8867	neuron differentiation	GO:0072661	na	1.0
TBX1	O43435	6899	response to hypoxia	GO:0072661	na	1.0
HTRA2	O43464	27429	cytoskeleton organization	GO:0072661	na	1.0
KLF4	O43474	9314	negative regulation of protein kinase activity	GO:0072661	na	1.0
CACNA1G	O43497	8913	cytokine-mediated signaling pathway	GO:0072661	na	1.0
RAD51C	O43502	5889	negative regulation of JAK-STAT cascade	GO:0072661	na	1.0
BCL2L11	O43521	10018	defense response	GO:0072661	na	1.0
FOXO3	O43524	2309	negative regulation of NF-kappaB transcription factor activity	GO:0072661	na	1.0
SMAD6	O43541	4091	negative regulation of type I interferon production	GO:0072661	na	1.0
XRCC3	O43542	7517	negative regulation of inflammatory response	GO:0072661	na	1.0
XRCC2	O43543	7516	cellular response to interferon-gamma	GO:0072661	na	1.0
RGS14	O43566	10636	cellular response to interleukin-1	GO:0072661	na	1.0
SYT7	O43581	9066	cellular response to tumor necrosis factor	GO:0072661	na	1.0
SPRY2	O43597	10253	positive regulation of reactive oxygen species metabolic process	GO:0072661	na	1.0
GALR2	O43603	8811	cerebral cortex development	GO:0072661	na	1.0
SNAI2	O43623	6591	hormone-mediated signaling pathway	GO:0072661	na	1.0
CHMP2A	O43633	27243	transcription elongation from RNA polymerase II promoter	GO:0072661	na	1.0
NCK2	O43639	8440	vesicle fusion	GO:0072661	na	1.0
TCF21	O43680	6943	chaperone-mediated protein folding	GO:0072661	na	1.0
ACTN4	O43707	81	collagen catabolic process	GO:0072661	na	1.0
TRIAP1	O43715	51499	positive regulation of apoptotic process	GO:0072661	na	1.0
CXCL13	O43927	10563	mRNA splicing, via spliceosome	GO:0072661	na	1.0
SOX15	O60248	6665	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	GO:0072661	na	1.0
PRKN	O60260	5071	SMAD protein signal transduction	GO:0072661	na	1.0
ADCY3	O60266	109	cognition	GO:0072661	na	1.0
OPA1	O60313	4976	mRNA export from nucleus	GO:0072661	na	1.0
PIP5K1C	O60331	23396	tRNA export from nucleus	GO:0072661	na	1.0
KDM1A	O60341	23028	mitotic nuclear envelope disassembly	GO:0072661	na	1.0
GDF9	O60383	2661	regulation of glucose transport	GO:0072661	na	1.0
FADS1	O60427	3992	viral process	GO:0072661	na	1.0
NRP2	O60462	8828	protein sumoylation	GO:0072661	na	1.0
SNX3	O60493	8724	viral transcription	GO:0072661	na	1.0
ADCY9	O60503	115	regulation of gene silencing by miRNA	GO:0072661	na	1.0
CIDEA	O60543	1149	regulation of cellular response to heat	GO:0072661	na	1.0
CCNT1	O60563	904	exocytosis	GO:0072661	na	1.0
GREM1	O60565	26585	regulation of protein ubiquitination	GO:0072661	na	1.0
BUB1B	O60566	701	retrograde transport, endosome to Golgi	GO:0072661	na	1.0
TLR2	O60603	7097	Rho protein signal transduction	GO:0072661	na	1.0
KLHL41	O60662	10324	regulation of cell shape	GO:0072661	na	1.0
JAK2	O60674	3717	positive regulation of actin filament polymerization	GO:0072661	na	1.0
DKC1	O60832	1736	transport	GO:0072661	na	1.0
TRIM13	O60858	10206	G2/M transition of mitotic cell cycle	GO:0072661	na	1.0
RAMP2	O60895	10266	ciliary basal body docking	GO:0072661	na	1.0
HUS1	O60921	3364	chemical synaptic transmission	GO:0072661	na	1.0
NBN	O60934	4683	positive regulation of protein ubiquitination	GO:0072661	na	1.0
MITF	O75030	4286	interstrand cross-link repair	GO:0072661	na	1.0
SRGAP2	O75044	23380	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	GO:0072661	na	1.0
NOS1AP	O75052	9722	adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	GO:0072661	na	1.0
FZD7	O75084	8324	positive regulation of vasoconstriction	GO:0072661	na	1.0
SLIT3	O75094	6586	centrosome cycle	GO:0072661	na	1.0
LRP4	O75096	4038	autophagy	GO:0072661	na	1.0
ROCK2	O75116	9475	positive regulation of dendritic spine development	GO:0072661	na	1.0
CLASP2	O75122	23122	actin filament bundle assembly	GO:0072661	na	1.0
COBL	O75128	23242	apoptotic process	GO:0072661	na	1.0
HIP1R	O75146	9026	cell cycle arrest	GO:0072661	na	1.0
OBSL1	O75147	23363	visual perception	GO:0072661	na	1.0
LRP5	O75197	4041	muscle organ development	GO:0072661	na	1.0
ZPR1	O75312	8882	translational initiation	GO:0072661	na	1.0
PDCD6	O75340	10016	neutrophil degranulation	GO:0072661	na	1.0
ALOX12B	O75342	242	negative regulation of transcription, DNA-templated	GO:0072661	na	1.0
VPS4B	O75351	9525	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0072661	na	1.0
H2AFY	O75367	9555	mitochondrion organization	GO:0072661	na	1.0
PEX14	O75381	5195	microtubule-based movement	GO:0072661	na	1.0
ULK1	O75385	8408	regulation of protein stability	GO:0072661	na	1.0
POLQ	O75417	10721	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0072661	na	1.0
CDC45	O75419	8318	defense response to virus	GO:0072661	na	1.0
ERN1	O75460	2081	mitotic spindle organization	GO:0072661	na	1.0
NR1I2	O75469	8856	sister chromatid cohesion	GO:0072661	na	1.0
TNFRSF21	O75509	27242	antigen processing and presentation of exogenous peptide antigen via MHC class II	GO:0072661	na	1.0
LRP6	O75581	4040	mitotic spindle assembly	GO:0072661	na	1.0
RPS6KA5	O75582	9252	regulation of cell growth	GO:0072661	na	1.0
LEFTY1	O75610	10637	protein phosphorylation	GO:0072661	na	1.0
RPS6KA4	O75676	8986	regulation of blood pressure	GO:0072661	na	1.0
NUP155	O75694	9631	peptidyl-serine phosphorylation	GO:0072661	na	1.0
RAD51D	O75771	5892	regulation of cell migration	GO:0072661	na	1.0
GRAP2	O75791	9402	intracellular signal transduction	GO:0072661	na	1.0
PPP1R15A	O75807	23645	regulation of cell proliferation	GO:0072661	na	1.0
PSMD10	O75832	5716	regulation of apoptotic process	GO:0072661	na	1.0
CCNK	O75909	8812	regulation of sequence-specific DNA binding transcription factor activity	GO:0072661	na	1.0
PAK3	O75914	5063	ossification	GO:0072661	na	1.0
RAD17	O75943	5884	release of cytochrome c from mitochondria	GO:0072661	na	1.0
FLOT1	O75955	10211	positive regulation of bone mineralization	GO:0072661	na	1.0
WFS1	O76024	7466	negative regulation of neuron apoptotic process	GO:0072661	na	1.0
NEURL1	O76050	9148	regulation of cytosolic calcium ion concentration	GO:0072661	na	1.0
RNF8	O76064	9025	termination of RNA polymerase II transcription	GO:0072661	na	1.0
FGF18	O76093	8817	regulation of gene expression	GO:0072661	na	1.0
TRPM2	O94759	7226	mRNA 3'-end processing	GO:0072661	na	1.0
SLIT2	O94813	9353	response to oxidative stress	GO:0072661	na	1.0
UFL1	O94874	23376	positive regulation of gene expression, epigenetic	GO:0072661	na	1.0
DKK1	O94907	22943	membrane fusion	GO:0072661	na	1.0
AP2A2	O94973	161	positive regulation of phosphatidylinositol 3-kinase signaling	GO:0072661	na	1.0
UBR5	O95071	51366	positive regulation of peptidyl-tyrosine phosphorylation	GO:0072661	na	1.0
MFN2	O95140	9927	positive regulation of protein kinase B signaling	GO:0072661	na	1.0
CACNA1H	O95180	8912	cellular response to cytokine stimulus	GO:0072661	na	1.0
KAT7	O95251	11143	regulation of mitophagy	GO:0072661	na	1.0
RASGRP1	O95267	10125	positive regulation of actin cytoskeleton reorganization	GO:0072661	na	1.0
TNKS	O95271	8658	positive regulation of DNA repair	GO:0072661	na	1.0
SNAPIN	O95295	23557	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	GO:0072661	na	1.0
SIX3	O95343	6496	muscle contraction	GO:0072661	na	1.0
ATG7	O95352	10533	regulation of heart contraction	GO:0072661	na	1.0
ARIH2	O95376	10425	regulation of cardiac conduction	GO:0072661	na	1.0
SLU7	O95391	10569	positive regulation of endothelial cell proliferation	GO:0072661	na	1.0
BMP10	O95393	27302	monocyte chemotaxis	GO:0072661	na	1.0
RAPGEF3	O95398	10411	chemotaxis	GO:0072661	na	1.0
PARN	O95453	5073	neutrophil chemotaxis	GO:0072661	na	1.0
ABCA1	O95477	19	lymphocyte chemotaxis	GO:0072661	na	1.0
VNN1	O95497	8876	chemokine-mediated signaling pathway	GO:0072661	na	1.0
ADCY5	O95622	111	positive regulation of ERK1 and ERK2 cascade	GO:0072661	na	1.0
FSTL3	O95633	10272	sodium ion transmembrane transport	GO:0072661	na	1.0
ESRRB	O95718	2103	cardiac conduction	GO:0072661	na	1.0
CRTAM	O95727	56253	potassium ion transmembrane transport	GO:0072661	na	1.0
FGF19	O95750	9965	female pregnancy	GO:0072661	na	1.0
AP2A1	O95782	160	negative regulation of gene expression	GO:0072661	na	1.0
DDX58	O95786	23586	negative regulation of interferon-gamma production	GO:0072661	na	1.0
CER1	O95813	9350	negative regulation of tumor necrosis factor production	GO:0072661	na	1.0
LATS1	O95835	9113	positive regulation of interleukin-4 production	GO:0072661	na	1.0
SNAI1	O95863	6615	positive regulation of NF-kappaB import into nucleus	GO:0072661	na	1.0
AGR2	O95994	10551	positive regulation of interleukin-1 beta secretion	GO:0072661	na	1.0
BCL10	O95999	8915	positive regulation of NF-kappaB transcription factor activity	GO:0072661	na	1.0
HAND1	O96004	9421	ERK1 and ERK2 cascade	GO:0072661	na	1.0
WNT11	O96014	7481	response to interleukin-1	GO:0072661	na	1.0
CHEK2	O96017	11200	positive regulation of interleukin-6 secretion	GO:0072661	na	1.0
ACTL6A	O96019	86	toll-like receptor 4 signaling pathway	GO:0072661	na	1.0
DHFR	P00374	1719	platelet aggregation	GO:0072661	na	1.0
SOD1	P00441	6647	platelet degranulation	GO:0072661	na	1.0
PNP	P00491	4860	positive regulation of exocytosis	GO:0072661	na	1.0
HPRT1	P00492	3251	positive regulation of release of cytochrome c from mitochondria	GO:0072661	na	1.0
GOT2	P00505	2806	steroid metabolic process	GO:0072661	na	1.0
ABL1	P00519	25	activation of MAPK activity	GO:0072661	na	1.0
EGFR	P00533	1956	toll-like receptor signaling pathway	GO:0072661	na	1.0
MOS	P00540	4342	MyD88-dependent toll-like receptor signaling pathway	GO:0072661	na	1.0
F2	P00734	2147	MyD88-independent toll-like receptor signaling pathway	GO:0072661	na	1.0
PLG	P00747	5340	I-kappaB kinase/NF-kappaB signaling	GO:0072661	na	1.0
F12	P00748	2161	lipopolysaccharide-mediated signaling pathway	GO:0072661	na	1.0
PLAU	P00749	5328	negative regulation of interleukin-6 production	GO:0072661	na	1.0
AGT	P01019	183	positive regulation of chemokine production	GO:0072661	na	1.0
C3	P01024	718	positive regulation of interferon-beta production	GO:0072661	na	1.0
TIMP1	P01033	7076	positive regulation of interferon-gamma production	GO:0072661	na	1.0
CST3	P01034	1471	positive regulation of interleukin-10 production	GO:0072661	na	1.0
FOS	P01100	2353	positive regulation of interleukin-12 production	GO:0072661	na	1.0
MYC	P01106	4609	positive regulation of interleukin-6 production	GO:0072661	na	1.0
NRAS	P01111	4893	positive regulation of interleukin-8 production	GO:0072661	na	1.0
HRAS	P01112	3265	positive regulation of tumor necrosis factor production	GO:0072661	na	1.0
KRAS	P01116	3845	TRIF-dependent toll-like receptor signaling pathway	GO:0072661	na	1.0
PDGFB	P01127	5155	positive regulation of inflammatory response	GO:0072661	na	1.0
LDLR	P01130	3949	necroptotic process	GO:0072661	na	1.0
EGF	P01133	1950	negative regulation of ERK1 and ERK2 cascade	GO:0072661	na	1.0
TGFB1	P01137	7040	cellular response to mechanical stimulus	GO:0072661	na	1.0
NGF	P01138	4803	lamellipodium assembly	GO:0072661	na	1.0
NPPA	P01160	4878	positive regulation of cell adhesion	GO:0072661	na	1.0
AVP	P01185	551	focal adhesion assembly	GO:0072661	na	1.0
FSHB	P01225	2488	negative regulation of cell growth	GO:0072661	na	1.0
GH1	P01241	2688	activation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0072661	na	1.0
PTH	P01270	5741	activation of NF-kappaB-inducing kinase activity	GO:0072661	na	1.0
GHRH	P01286	2691	multicellular organism development	GO:0072661	na	1.0
NPY	P01303	4852	extrinsic apoptotic signaling pathway via death domain receptors	GO:0072661	na	1.0
INS	P01308	3630	extrinsic apoptotic signaling pathway	GO:0072661	na	1.0
IGF2	P01344	3481	activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	GO:0072661	na	1.0
TNF	P01375	7124	regulation of extrinsic apoptotic signaling pathway via death domain receptors	GO:0072661	na	1.0
IFNA1	P01562	3439	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	GO:0072661	na	1.0
IFNA2	P01563	3440	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	GO:0072661	na	1.0
IFNA10	P01566	3446	positive regulation of insulin secretion	GO:0072661	na	1.0
IFNA7	P01567	3444	negative regulation of insulin secretion	GO:0072661	na	1.0
IFNA21	P01568	3452	central nervous system development	GO:0072661	na	1.0
IFNA5	P01569	3442	positive regulation of cell differentiation	GO:0072661	na	1.0
IFNA14	P01570	3448	positive regulation of osteoblast differentiation	GO:0072661	na	1.0
IFNA17	P01571	3451	cellular response to BMP stimulus	GO:0072661	na	1.0
IFNB1	P01574	3456	antimicrobial humoral response	GO:0072661	na	1.0
IFNG	P01579	3458	neuropeptide signaling pathway	GO:0072661	na	1.0
IL1A	P01583	3552	blood coagulation	GO:0072661	na	1.0
IL1B	P01584	3553	response to wounding	GO:0072661	na	1.0
EPO	P01588	2056	platelet activation	GO:0072661	na	1.0
JCHAIN	P01591	3512	positive regulation of Rho protein signal transduction	GO:0072661	na	1.0
IGKV1D-16	P01601	28901	chromatin remodeling	GO:0072661	na	1.0
IGKV1-5	P01602	28299	7-methylguanosine mRNA capping	GO:0072661	na	1.0
IGKV3-20	P01619	28912	response to organic substance	GO:0072661	na	1.0
CD4	P01730	920	positive regulation of macroautophagy	GO:0072661	na	1.0
IGHV3-23	P01764	28442	positive regulation of viral transcription	GO:0072661	na	1.0
IGKC	P01834	3514	transcription initiation from RNA polymerase II promoter	GO:0072661	na	1.0
TRBC1	P01850	28639	regulation of signal transduction by p53 class mediator	GO:0072661	na	1.0
IGHG1	P01857	3500	regulation of endocytosis	GO:0072661	na	1.0
IGHG2	P01859	3501	positive regulation of epidermal growth factor receptor signaling pathway	GO:0072661	na	1.0
IGHG3	P01860	3502	positive regulation of receptor-mediated endocytosis	GO:0072661	na	1.0
IGHG4	P01861	3503	transforming growth factor beta receptor signaling pathway	GO:0072661	na	1.0
IGHM	P01871	3507	positive regulation of pathway-restricted SMAD protein phosphorylation	GO:0072661	na	1.0
IGHA1	P01876	3493	regulation of MAPK cascade	GO:0072661	na	1.0
IGHA2	P01877	3494	cell development	GO:0072661	na	1.0
COL1A1	P02452	1277	positive regulation of phagocytosis	GO:0072661	na	1.0
COL3A1	P02461	1281	cellular protein modification process	GO:0072661	na	1.0
CRYAB	P02511	1410	regulation of membrane potential	GO:0072661	na	1.0
KRT6A	P02538	3853	negative regulation of sequence-specific DNA binding transcription factor activity	GO:0072661	na	1.0
APOA1	P02647	335	viral entry into host cell	GO:0072661	na	1.0
APOE	P02649	348	protein autoubiquitination	GO:0072661	na	1.0
APOA2	P02652	336	protein K63-linked ubiquitination	GO:0072661	na	1.0
APOC1	P02654	341	G1/S transition of mitotic cell cycle	GO:0072661	na	1.0
APOC2	P02655	344	DNA replication	GO:0072661	na	1.0
APOC3	P02656	345	phagocytosis	GO:0072661	na	1.0
FGA	P02671	2243	positive regulation of G2/M transition of mitotic cell cycle	GO:0072661	na	1.0
FGB	P02675	2244	epithelial cell differentiation	GO:0072661	na	1.0
FGG	P02679	2266	protein oligomerization	GO:0072661	na	1.0
MBP	P02686	4155	negative regulation of TOR signaling	GO:0072661	na	1.0
CHRNA1	P02708	1134	circadian regulation of gene expression	GO:0072661	na	1.0
CRP	P02741	1401	negative regulation of fat cell differentiation	GO:0072661	na	1.0
APCS	P02743	325	regulation of insulin secretion	GO:0072661	na	1.0
APOH	P02749	350	regulation of cell cycle	GO:0072661	na	1.0
FN1	P02751	2335	adaptive immune response	GO:0072661	na	1.0
RBP4	P02753	5950	phosphatidylinositol biosynthetic process	GO:0072661	na	1.0
AHSG	P02765	197	axon guidance	GO:0072661	na	1.0
ALB	P02768	213	phosphatidylinositol 3-kinase signaling	GO:0072661	na	1.0
PPBP	P02775	5473	regulation of phosphatidylinositol 3-kinase signaling	GO:0072661	na	1.0
PF4	P02776	5196	phosphorylation	GO:0072661	na	1.0
CXCL10	P02778	3627	T cell differentiation	GO:0072661	na	1.0
TFRC	P02786	7037	T cell activation	GO:0072661	na	1.0
TF	P02787	7018	B cell activation	GO:0072661	na	1.0
LTF	P02788	4057	phosphatidylinositol-mediated signaling	GO:0072661	na	1.0
ESR1	P03372	2099	ion transport	GO:0072661	na	1.0
ANG	P03950	283	anatomical structure morphogenesis	GO:0072661	na	1.0
VTN	P04004	7448	cell migration	GO:0072661	na	1.0
CAT	P04040	847	thymus development	GO:0072661	na	1.0
RAF1	P04049	5894	ER to Golgi vesicle-mediated transport	GO:0072661	na	1.0
