ENSP00000009105	CAMK1G	DOID:332	Amyotrophic lateral sclerosis	DistiLD	p-value = 3e-08	2
ENSP00000009105	CAMK1G	DOID:8577	Ulcerative colitis	DistiLD	p-value = 7e-07	1
ENSP00000009105	CAMK1G	DOID:9970	Obesity	DistiLD	p-value = 2e-06	1
ENSP00000010404	MGST1	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000011292	CPA1	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000011619	RANBP9	DOID:1612	Breast cancer	DistiLD	p-value = 8e-09	2
ENSP00000011619	RANBP9	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000011653	CD4	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000011684	PLEKHG6	DOID:305	Carcinoma	COSMIC	11 samples	0
ENSP00000012049	QPCTL	DOID:0060158	Acquired metabolic disease	DistiLD	p-value = 1e-06	1
ENSP00000012134	HIVEP2	DOID:14330	Parkinson's disease	DistiLD	p-value = 6e-06	0
ENSP00000012134	HIVEP2	DOID:263	Kidney cancer	COSMIC	21 samples	0
ENSP00000012134	HIVEP2	DOID:305	Carcinoma	COSMIC	62 samples	1
ENSP00000012443	PPP5C	DOID:305	Carcinoma	COSMIC	19 samples	0
ENSP00000012443	PPP5C	DOID:8778	Crohn's disease	DistiLD	p-value = 2e-10	2
ENSP00000013125	MAP4K5	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000013222	INMT	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000013807	ERCC1	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000014914	GPRC5A	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000016913	MS4A12	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000017003	XYLT2	DOID:305	Carcinoma	COSMIC	17 samples	0
ENSP00000019103	SCTR	DOID:305	Carcinoma	COSMIC	11 samples	0
ENSP00000019317	RALBP1	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000020673	PSD	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000020926	SYT13	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000020945	SNAI2	DOID:114	Heart disease	DistiLD	p-value = 3e-07	2
ENSP00000020945	SNAI2	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000023064	SLC7A9	DOID:263	Kidney cancer	COSMIC	12 samples	0
ENSP00000023064	SLC7A9	DOID:305	Carcinoma	COSMIC	30 samples	0
ENSP00000023064	SLC7A9	DOID:557	Kidney disease	DistiLD	p-value = 3e-15	2
ENSP00000023897	GABRA1	DOID:305	Carcinoma	COSMIC	33 samples	1
ENSP00000023939	RTFDC1	DOID:305	Carcinoma	COSMIC	20 samples	0
ENSP00000024061	SLC45A4	DOID:305	Carcinoma	COSMIC	27 samples	0
ENSP00000024061	SLC45A4	DOID:3312	Bipolar disorder	DistiLD	p-value = 9e-06	0
ENSP00000025008	RB1CC1	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000025008	RB1CC1	DOID:305	Carcinoma	COSMIC	43 samples	1
ENSP00000025301	AKAP11	DOID:11476	Osteoporosis	DistiLD	p-value = 2e-17	2
ENSP00000025301	AKAP11	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000025301	AKAP11	DOID:305	Carcinoma	COSMIC	40 samples	1
ENSP00000025301	AKAP11	DOID:8778	Crohn's disease	DistiLD	p-value = 5e-10	2
ENSP00000027335	CDH17	DOID:305	Carcinoma	COSMIC	33 samples	1
ENSP00000029410	B4GALT7	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000033079	FAM13B	DOID:305	Carcinoma	COSMIC	30 samples	0
ENSP00000035307	CHPF2	DOID:305	Carcinoma	COSMIC	23 samples	0
ENSP00000035383	LRRC7	DOID:0050567	Orofacial cleft	DistiLD	p-value = 4e-06	1
ENSP00000035383	LRRC7	DOID:10825	Essential hypertension	DistiLD	p-value = 3e-08	2
ENSP00000035383	LRRC7	DOID:1094	Attention deficit hyperactivity disorder	DistiLD	p-value = 4e-06	1
ENSP00000035383	LRRC7	DOID:1380	Endometrial cancer	COSMIC	13 samples	0
ENSP00000035383	LRRC7	DOID:1612	Breast cancer	COSMIC	16 samples	0
ENSP00000035383	LRRC7	DOID:2394	Ovarian cancer	COSMIC	10 samples	0
ENSP00000035383	LRRC7	DOID:263	Kidney cancer	COSMIC	22 samples	0
ENSP00000035383	LRRC7	DOID:305	Carcinoma	COSMIC	85 samples	1
ENSP00000035383	LRRC7	DOID:4159	Skin cancer	COSMIC	10 samples	0
ENSP00000037502	MYOC	DOID:305	Carcinoma	COSMIC	17 samples	0
ENSP00000039007	OTC	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000039007	OTC	DOID:305	Carcinoma	COSMIC	24 samples	0
ENSP00000039989	TTC17	DOID:305	Carcinoma	COSMIC	34 samples	1
ENSP00000039989	TTC17	DOID:3571	Liver cancer	COSMIC	11 samples	0
ENSP00000040738	BOD1L1	DOID:263	Kidney cancer	COSMIC	21 samples	0
ENSP00000040738	BOD1L1	DOID:305	Carcinoma	COSMIC	58 samples	1
ENSP00000040738	BOD1L1	DOID:3571	Liver cancer	COSMIC	10 samples	0
ENSP00000040877	TARBP1	DOID:1324	Lung cancer	COSMIC	10 samples	0
ENSP00000040877	TARBP1	DOID:305	Carcinoma	COSMIC	38 samples	1
ENSP00000042931	BEST2	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000044462	PSMA4	DOID:303	substance-related disorder	DistiLD	p-value = 1e-23	2
ENSP00000044462	PSMA4	DOID:7148	Rheumatoid arthritis	DistiLD	p-value = 4e-08	2
ENSP00000045083	FAM65C	DOID:305	Carcinoma	COSMIC	18 samples	0
ENSP00000046087	ZPBP	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000046794	LCP2	DOID:305	Carcinoma	COSMIC	11 samples	0
ENSP00000052754	DCN	DOID:114	Heart disease	DistiLD	p-value = 5e-06	0
ENSP00000052754	DCN	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000053867	GRN	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000054668	UTS2	DOID:8778	Crohn's disease	DistiLD	p-value = 1e-06	1
ENSP00000054950	RCN1	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000055335	PPP1R3F	DOID:305	Carcinoma	COSMIC	18 samples	0
ENSP00000055682	KIAA2022	DOID:1909	Melanoma	COSMIC	17 samples	0
ENSP00000055682	KIAA2022	DOID:263	Kidney cancer	COSMIC	23 samples	0
ENSP00000055682	KIAA2022	DOID:305	Carcinoma	COSMIC	71 samples	1
ENSP00000055682	KIAA2022	DOID:3571	Liver cancer	COSMIC	10 samples	0
ENSP00000055682	KIAA2022	DOID:4159	Skin cancer	COSMIC	13 samples	0
ENSP00000055682	KIAA2022	DOID:5672	Large intestine cancer	COSMIC	10 samples	0
ENSP00000056217	ARHGEF5	DOID:1612	Breast cancer	DistiLD	p-value = 7e-11	2
ENSP00000056217	ARHGEF5	DOID:305	Carcinoma	COSMIC	18 samples	0
ENSP00000056233	NFE2L3	DOID:0060158	Acquired metabolic disease	DistiLD	p-value = 1e-10	2
ENSP00000056233	NFE2L3	DOID:289	Endometriosis	DistiLD	p-value = 1e-09	2
ENSP00000056233	NFE2L3	DOID:305	Carcinoma	COSMIC	28 samples	0
ENSP00000056233	NFE2L3	DOID:9970	Obesity	DistiLD	p-value = 1e-24	2
ENSP00000057513	TNIP3	DOID:1612	Breast cancer	DistiLD	p-value = 3e-07	2
ENSP00000057513	TNIP3	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000057513	TNIP3	DOID:305	Carcinoma	COSMIC	18 samples	0
ENSP00000061240	TLL1	DOID:1909	Melanoma	COSMIC	17 samples	0
ENSP00000061240	TLL1	DOID:2377	Multiple sclerosis	DistiLD	p-value = 5e-06	0
ENSP00000061240	TLL1	DOID:263	Kidney cancer	COSMIC	20 samples	0
ENSP00000061240	TLL1	DOID:305	Carcinoma	COSMIC	48 samples	1
ENSP00000061240	TLL1	DOID:4159	Skin cancer	COSMIC	13 samples	0
ENSP00000064571	CBLN4	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000064724	CLDN11	DOID:0050686	Organ system cancer	DistiLD	p-value = 8e-07	1
ENSP00000064724	CLDN11	DOID:10283	Prostate cancer	DistiLD	p-value = 7e-22	2
ENSP00000064724	CLDN11	DOID:1561	Cognitive disorder	DistiLD	p-value = 6e-07	1
ENSP00000070846	PKP2	DOID:263	Kidney cancer	COSMIC	12 samples	0
ENSP00000070846	PKP2	DOID:305	Carcinoma	COSMIC	32 samples	1
ENSP00000072644	YIPF1	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000072644	YIPF1	DOID:409	Liver disease	DistiLD	p-value = 5e-06	0
ENSP00000074304	INPP4A	DOID:305	Carcinoma	COSMIC	30 samples	0
ENSP00000075120	SLC2A3	DOID:305	Carcinoma	COSMIC	26 samples	0
ENSP00000075503	STYK1	DOID:305	Carcinoma	COSMIC	18 samples	0
ENSP00000078429	GNA11	DOID:1909	Melanoma	COSMIC	253 samples	1
ENSP00000078429	GNA11	DOID:2174	Ocular cancer	COSMIC	245 samples	1
ENSP00000078429	GNA11	DOID:2415	DOID:2415	COSMIC	10 samples	0
ENSP00000078429	GNA11	DOID:4159	Skin cancer	COSMIC	17 samples	0
ENSP00000078445	CREB3L3	DOID:305	Carcinoma	COSMIC	17 samples	0
ENSP00000078527	PIGV	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000080059	HDAC7	DOID:8778	Crohn's disease	DistiLD	p-value = 8e-09	2
ENSP00000081029	MRPS35	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000083182	APPBP2	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000084798	CA11	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000085219	CD22	DOID:263	Kidney cancer	COSMIC	13 samples	0
ENSP00000085219	CD22	DOID:305	Carcinoma	COSMIC	43 samples	1
ENSP00000085219	CD22	DOID:3571	Liver cancer	COSMIC	10 samples	0
ENSP00000155093	ZFY	DOID:305	Carcinoma	COSMIC	11 samples	0
ENSP00000155840	KCNQ1	DOID:10273	Heart conduction disease	DistiLD	p-value = 2e-06	1
ENSP00000155840	KCNQ1	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000155840	KCNQ1	DOID:9352	Type 2 diabetes mellitus	DistiLD	p-value = 1e-07	2
ENSP00000155858	TRPM5	DOID:305	Carcinoma	COSMIC	28 samples	0
ENSP00000155858	TRPM5	DOID:3571	Liver cancer	COSMIC	10 samples	0
ENSP00000155926	TRIB2	DOID:114	Heart disease	DistiLD	p-value = 5e-14	2
ENSP00000155926	TRIB2	DOID:216	Dental caries	DistiLD	p-value = 1e-07	2
ENSP00000155926	TRIB2	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000156084	OTUD5	DOID:305	Carcinoma	COSMIC	11 samples	0
ENSP00000156109	GPKOW	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000156471	AQR	DOID:1324	Lung cancer	COSMIC	11 samples	0
ENSP00000156471	AQR	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000156471	AQR	DOID:305	Carcinoma	COSMIC	47 samples	1
ENSP00000157600	LMCD1	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000157812	PSMC4	DOID:305	Carcinoma	COSMIC	20 samples	0
ENSP00000158166	CAMKK1	DOID:303	substance-related disorder	DistiLD	p-value = 7e-06	0
ENSP00000158762	ACAP1	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000158762	ACAP1	DOID:305	Carcinoma	COSMIC	27 samples	0
ENSP00000159060	NOX3	DOID:1240	Leukemia	DistiLD	p-value = 5e-06	0
ENSP00000159060	NOX3	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000159087	ANO8	DOID:305	Carcinoma	COSMIC	25 samples	0
ENSP00000159111	KDM4B	DOID:305	Carcinoma	COSMIC	32 samples	1
ENSP00000160373	CTTNBP2	DOID:1612	Breast cancer	COSMIC	10 samples	0
ENSP00000160373	CTTNBP2	DOID:303	substance-related disorder	DistiLD	p-value = 5e-06	0
ENSP00000160373	CTTNBP2	DOID:305	Carcinoma	COSMIC	47 samples	1
ENSP00000160740	CIC	DOID:1612	Breast cancer	COSMIC	56 samples	1
ENSP00000160740	CIC	DOID:2627	DOID:2627	COSMIC	51 samples	1
ENSP00000160740	CIC	DOID:263	Kidney cancer	COSMIC	16 samples	0
ENSP00000160740	CIC	DOID:305	Carcinoma	COSMIC	45 samples	1
ENSP00000161863	YTHDC2	DOID:114	Heart disease	DistiLD	p-value = 4e-08	2
ENSP00000161863	YTHDC2	DOID:263	Kidney cancer	COSMIC	15 samples	0
ENSP00000161863	YTHDC2	DOID:305	Carcinoma	COSMIC	35 samples	1
ENSP00000161863	YTHDC2	DOID:583	Hemolytic anemia	DistiLD	p-value = 8e-06	0
ENSP00000161863	YTHDC2	DOID:7148	Rheumatoid arthritis	DistiLD	p-value = 1e-05	0
ENSP00000162023	MEF2B	DOID:0060083	Immune system cancer	COSMIC	23 samples	0
ENSP00000162023	MEF2B	DOID:10747	Lymphoid leukemia	COSMIC	23 samples	0
ENSP00000162391	FOXJ2	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000162749	TNFRSF1A	DOID:12236	Primary biliary cirrhosis	DistiLD	p-value = 2e-09	2
ENSP00000162749	TNFRSF1A	DOID:2377	Multiple sclerosis	DistiLD	p-value = 2e-11	2
ENSP00000162749	TNFRSF1A	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000163416	GOLGA5	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000163416	GOLGA5	DOID:305	Carcinoma	COSMIC	30 samples	0
ENSP00000164024	CELSR3	DOID:263	Kidney cancer	COSMIC	19 samples	0
ENSP00000164024	CELSR3	DOID:305	Carcinoma	COSMIC	55 samples	1
ENSP00000164024	CELSR3	DOID:4159	Skin cancer	COSMIC	10 samples	0
ENSP00000164133	PPP2R5B	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000164139	PYGM	DOID:13189	Gout	DistiLD	p-value = 9e-08	2
ENSP00000164139	PYGM	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000164227	BCL3	DOID:10652	Alzheimer's disease	DistiLD	p-value = 3e-11	2
ENSP00000164227	BCL3	DOID:1287	Cardiovascular system disease	DistiLD	p-value = 2e-11	2
ENSP00000164227	BCL3	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000164640	PDZD4	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000166244	EPHA8	DOID:1612	Breast cancer	COSMIC	10 samples	0
ENSP00000166244	EPHA8	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000166244	EPHA8	DOID:305	Carcinoma	COSMIC	36 samples	1
ENSP00000166345	TRIP13	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000166534	P4HA2	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000166534	P4HA2	DOID:8778	Crohn's disease	DistiLD	p-value = 1e-07	2
ENSP00000167586	KRT14	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000167588	KRT20	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000168712	FGF4	DOID:9744	Type 1 diabetes mellitus	DistiLD	p-value = 3e-06	1
ENSP00000168977	NMRK2	DOID:4448	Macular degeneration	DistiLD	p-value = 6e-06	0
ENSP00000169298	ST6GAL1	DOID:9352	Type 2 diabetes mellitus	DistiLD	p-value = 3e-08	2
ENSP00000170150	BPIFB2	DOID:305	Carcinoma	COSMIC	22 samples	0
ENSP00000170168	REXO1	DOID:305	Carcinoma	COSMIC	11 samples	0
ENSP00000170447	MKRN2	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000170564	GPATCH1	DOID:11476	Osteoporosis	DistiLD	p-value = 7e-11	2
ENSP00000170564	GPATCH1	DOID:305	Carcinoma	COSMIC	30 samples	0
ENSP00000170630	IL4R	DOID:1612	Breast cancer	COSMIC	12 samples	0
ENSP00000170630	IL4R	DOID:305	Carcinoma	COSMIC	23 samples	0
ENSP00000171111	KEAP1	DOID:1324	Lung cancer	COSMIC	50 samples	1
ENSP00000171111	KEAP1	DOID:305	Carcinoma	COSMIC	87 samples	1
ENSP00000171111	KEAP1	DOID:3571	Liver cancer	COSMIC	14 samples	0
ENSP00000171214	RDH8	DOID:305	Carcinoma	COSMIC	17 samples	0
ENSP00000171757	P2RY10	DOID:305	Carcinoma	COSMIC	30 samples	0
ENSP00000171887	TNS1	DOID:1909	Melanoma	COSMIC	11 samples	0
ENSP00000171887	TNS1	DOID:263	Kidney cancer	COSMIC	17 samples	0
ENSP00000171887	TNS1	DOID:305	Carcinoma	COSMIC	41 samples	1
ENSP00000171887	TNS1	DOID:3083	Chronic obstructive pulmonary disease	DistiLD	p-value = 1e-12	2
ENSP00000172229	NGFR	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000172229	NGFR	DOID:3312	Bipolar disorder	DistiLD	p-value = 9e-06	0
ENSP00000173229	NTN1	DOID:0050567	Orofacial cleft	DistiLD	p-value = 2e-07	2
ENSP00000173229	NTN1	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000173229	NTN1	DOID:7148	Rheumatoid arthritis	DistiLD	p-value = 9e-07	1
ENSP00000173229	NTN1	DOID:9352	Type 2 diabetes mellitus	DistiLD	p-value = 4e-06	1
ENSP00000173898	TRO	DOID:263	Kidney cancer	COSMIC	11 samples	0
ENSP00000173898	TRO	DOID:305	Carcinoma	COSMIC	47 samples	1
ENSP00000174653	AP3M2	DOID:178	Vascular disease	DistiLD	p-value = 2e-06	1
ENSP00000174653	AP3M2	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000175091	LAPTM4A	DOID:1596	Mental depression	DistiLD	p-value = 2e-06	1
ENSP00000175238	ADAM7	DOID:1909	Melanoma	COSMIC	36 samples	1
ENSP00000175238	ADAM7	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000175238	ADAM7	DOID:305	Carcinoma	COSMIC	24 samples	0
ENSP00000175238	ADAM7	DOID:4159	Skin cancer	COSMIC	31 samples	0
ENSP00000175506	ASNS	DOID:305	Carcinoma	COSMIC	19 samples	0
ENSP00000175756	PTPN18	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000176763	STK10	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000176763	STK10	DOID:305	Carcinoma	COSMIC	26 samples	0
ENSP00000177648	ALPK1	DOID:12987	Agranulocytosis	DistiLD	p-value = 3e-06	1
ENSP00000177648	ALPK1	DOID:263	Kidney cancer	COSMIC	17 samples	0
ENSP00000177648	ALPK1	DOID:305	Carcinoma	COSMIC	39 samples	1
ENSP00000177648	ALPK1	DOID:9970	Obesity	DistiLD	p-value = 1e-06	1
ENSP00000177694	TBX21	DOID:305	Carcinoma	COSMIC	16 samples	0
ENSP00000178638	CA12	DOID:305	Carcinoma	COSMIC	12 samples	0
ENSP00000178640	MAP2K5	DOID:0050425	Restless legs syndrome	DistiLD	p-value = 1e-22	2
ENSP00000178640	MAP2K5	DOID:0060158	Acquired metabolic disease	DistiLD	p-value = 1e-18	2
ENSP00000178640	MAP2K5	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000179259	C12orf5	DOID:10747	Lymphoid leukemia	DistiLD	p-value = 8e-06	0
ENSP00000180173	MTMR7	DOID:11949	Creutzfeldt-Jakob disease	DistiLD	p-value = 2e-08	2
ENSP00000180173	MTMR7	DOID:1909	Melanoma	COSMIC	10 samples	0
ENSP00000180173	MTMR7	DOID:305	Carcinoma	COSMIC	24 samples	0
ENSP00000180173	MTMR7	DOID:4159	Skin cancer	COSMIC	10 samples	0
ENSP00000181383	CPB2	DOID:305	Carcinoma	COSMIC	13 samples	0
ENSP00000181796	FAM107B	DOID:305	Carcinoma	COSMIC	20 samples	0
ENSP00000181839	CDK13	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000181839	CDK13	DOID:305	Carcinoma	COSMIC	36 samples	1
ENSP00000182096	CRYBG3	DOID:305	Carcinoma	COSMIC	22 samples	0
ENSP00000182377	FAR2	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000182527	TRAM2	DOID:8577	Ulcerative colitis	DistiLD	p-value = 1e-09	2
ENSP00000183605	CLDN18	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000184956	HEATR6	DOID:305	Carcinoma	COSMIC	29 samples	0
ENSP00000185206	CLIC5	DOID:4448	Macular degeneration	DistiLD	p-value = 8e-06	0
ENSP00000186436	TMEM131	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000186436	TMEM131	DOID:305	Carcinoma	COSMIC	36 samples	1
ENSP00000187397	ARPP21	DOID:1909	Melanoma	COSMIC	10 samples	0
ENSP00000187397	ARPP21	DOID:263	Kidney cancer	COSMIC	10 samples	0
ENSP00000187397	ARPP21	DOID:305	Carcinoma	COSMIC	38 samples	1
ENSP00000187762	TMEM38A	DOID:305	Carcinoma	COSMIC	14 samples	0
ENSP00000188790	FAP	DOID:12306	Vitiligo	DistiLD	p-value = 5e-15	2
ENSP00000188790	FAP	DOID:305	Carcinoma	COSMIC	21 samples	0
ENSP00000188790	FAP	DOID:8778	Crohn's disease	DistiLD	p-value = 2e-08	2
ENSP00000190165	DMRT3	DOID:305	Carcinoma	COSMIC	15 samples	0
ENSP00000190983	WISP2	DOID:305	Carcinoma	COSMIC	10 samples	0
ENSP00000192788	UHRF1BP1	DOID:0060158	Acquired metabolic disease	DistiLD	p-value = 4e-08	2
ENSP00000192788	UHRF1BP1	DOID:305	Carcinoma	COSMIC	29 samples	0
ENSP00000192788	UHRF1BP1	DOID:9074	Systemic lupus erythematosus	DistiLD	p-value = 1e-12	2
ENSP00000193322	OSTM1	DOID:1561	Cognitive disorder	DistiLD	p-value = 1e-06	1
ENSP00000193391	IMPG2	DOID:305	Carcinoma	COSMIC	29 samples	0
ENSP00000194118	KIAA0141	DOID:305	Carcinoma	COSMIC	19 samples	0
ENSP00000194130	SLC13A1	DOID:1324	Lung cancer	COSMIC	12 samples	0
ENSP00000194130	SLC13A1	DOID:305	Carcinoma	COSMIC	31 samples	0
ENSP00000194152	PCDHB4	DOID:263	Kidney cancer	COSMIC	14 samples	0
ENSP00000194152	PCDHB4	DOID:305	Carcinoma	COSMIC	49 samples	1
ENSP00000194152	PCDHB4	DOID:3571	Liver cancer	COSMIC	11 samples	0
ENSP00000194155	PCDHB2	DOID:1324	Lung cancer	COSMIC	18 samples	0
ENSP00000194155	PCDHB2	DOID:263	Kidney cancer	COSMIC	22 samples	0
ENSP00000194155	PCDHB2	DOID:305	Carcinoma	COSMIC	58 samples	1
ENSP00000194530	STRADB	DOID:305	Carcinoma	COSMIC	14 samples	0
